# name,planet_status,mass,radius,orbital_period,discovered,updated,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_metallicity,star_mass,star_radius,star_sp_type,star_age,star_teff,star_detected_disc,star_magnetic_field
K02305.01,Candidate,,0.24,31.032699,2017,2016-12-28,,15.499,14.485,14.107,14.149,,0.07,1.047,0.931,,,5841,,
K02306.01,Candidate,,0.081,0.512407902,2017,2016-12-28,,14.194,12.634,11.999,11.828,,-0.2,0.524,0.52,,,3878,,
K02307.01,Candidate,,4.346,4.150301706,2017,2016-12-28,,14.607,13.54,13.103,13.038,,-0.1,0.895,0.823,,,5523,,
K02310.01,Candidate,,0.177,16.45819349,2017,2016-12-28,,14.437,13.469,13.182,13.058,,-0.12,0.973,0.877,,,5815,,
K02311.01,Candidate,,,191.864193,2017,2016-12-28,,12.355,11.386,11.039,10.981,,,,,,,,,
K02311.02,Candidate,,,13.72549689,2017,2016-12-28,,12.355,11.386,11.039,10.981,,,,,,,,,
K02312.01,Candidate,,0.212,176.331289,2017,2016-12-28,,12.586,11.603,11.353,11.321,,-0.42,1.166,2.251,,,6146,,
K02315.01,Candidate,,0.186,22.13345106,2017,2016-12-28,,15.281,14.183,13.661,13.573,,-0.38,0.759,0.692,,,5180,,
K02319.01,Candidate,,0.153,21.10325899,2017,2016-12-28,,13.224,12.367,12.121,12.079,,-0.22,1.125,1.229,,,6483,,
K02321.01,Candidate,,0.22,95.609845,2017,2016-12-28,,14.533,13.631,13.392,13.409,,-0.12,1.074,1.102,,,6289,,
K02321.02,Candidate,,0.131,36.2518395,2017,2016-12-28,,14.533,13.631,13.392,13.409,,-0.12,1.074,1.102,,,6289,,
K02323.01,Candidate,,,58.35512552,2017,2016-12-28,,15.199,14.037,13.507,13.431,,,,,,,,,
K02324.01,Candidate,,0.148,1.204682693,2017,2016-12-28,,11.293,15.576,12.698,14.532,,,1,1,,,5780,,
K02325.01,Candidate,,0.12,1.025857703,2017,2016-12-28,,14.087,12.891,12.402,12.348,,-0.06,0.754,0.791,,,5035,,
K02327.02,Candidate,,0.124,46.331703,2017,2016-12-28,,15.113,14.081,13.648,13.526,,-0.06,0.907,0.815,,,5477,,
K02329.01,Candidate,,0.105,1.615359728,2017,2016-12-28,,15.05,13.491,12.84,12.674,,-0.2,0.505,0.498,,,3815,,
K02332.01,Candidate,,0.132,3.70062174,2017,2016-12-28,,12.766,11.669,11.261,11.171,,-0.42,0.839,1.671,,,5387,,
K02339.02,Candidate,,,65.18703725,2017,2016-12-28,,14.723,13.47,12.91,12.814,,,,,,,,,
K02343.01,Candidate,,0.238,29.0728152,2017,2016-12-28,,14.185,13.177,12.823,12.695,,-0.12,0.928,1.042,,,5799,,
K02351.01,Candidate,,0.155,10.27377201,2017,2016-12-28,,14.675,13.695,13.328,13.333,,-0.12,0.943,0.856,,,5718,,
K02352.03,Candidate,,0.117,8.2563025,2017,2016-12-28,,,9.721,9.547,9.504,,-0.28,1.274,2.058,,,6550,,
K02353.01,Candidate,,0.198,5.18674073,2017,2016-12-28,,14.696,13.624,13.156,13.081,,0,0.869,0.781,,,5231,,
K02354.01,Candidate,,6.117,1.151245221,2017,2016-12-28,,14.327,13.339,13.042,12.949,,-0.26,1.003,0.921,,,6086,,
K02357.01,Candidate,,0.15,2.42087351,2017,2016-12-28,,15.392,14.415,14.062,13.934,,-0.28,0.967,0.879,,,5982,,
K02357.02,Candidate,,0.19,15.9042292,2017,2016-12-28,,15.392,14.415,14.062,13.934,,-0.28,0.967,0.879,,,5982,,
K02358.01,Candidate,,0.19,56.4932269,2017,2016-12-28,,13.383,12.534,12.309,12.264,,-0.3,1.084,1.04,,,6412,,
K02361.01,Candidate,,0.207,5.78388573,2017,2016-12-28,,14.851,13.901,13.612,13.538,,0.07,1.117,1.012,,,6063,,
K02363.01,Candidate,,0.087,3.138781,2017,2016-12-28,,14.076,12.913,12.424,12.35,,-0.54,0.684,0.722,,,5242,,
K02364.01,Candidate,,0.302,5.2424184,2017,2016-12-28,,15.53,14.312,13.891,13.759,,-0.64,0.813,1.829,,,5383,,
K02367.01,Candidate,,0.118,6.89208596,2017,2016-12-28,,12.475,11.588,11.359,11.29,,0.1,1.145,1.37,,,6047,,
K02369.02,Candidate,,0.12,6.3143447,2017,2016-12-28,,15.625,14.753,14.325,14.318,,-0.12,1.048,0.969,,,6075,,
K02369.03,Candidate,,0.119,7.227407,2017,2016-12-28,,15.625,14.753,14.325,14.318,,-0.12,1.048,0.969,,,6075,,
K02370.01,Candidate,,0.388,78.7324395,2017,2016-12-28,,12.878,12.091,11.916,11.805,,0.02,1.351,1.505,,,6735,,
K02373.01,Candidate,,0.164,147.280875,2017,2016-12-28,,14.473,13.476,13.133,13.053,,-0.2,0.874,0.828,,,5593,,
K02377.01,Candidate,,0.128,13.90333669,2017,2016-12-28,,14.518,13.222,12.782,12.716,,-0.06,0.817,0.819,,,5261,,
K02380.01,Candidate,,0.15,6.35705236,2017,2016-12-28,,14.019,13.059,12.717,12.667,,-0.04,1.047,0.96,,,5982,,
K02386.01,Candidate,,3.531,16.2708755,2017,2016-12-28,,14.736,13.773,13.416,13.351,,-0.56,0.843,0.765,,,5811,,
K02393.01,Candidate,,0.112,4.602996,2017,2016-12-28,,14.564,13.31,12.836,12.722,,-0.22,0.716,0.701,,,4894,,
K02393.02,Candidate,,0.099,0.766689534,2017,2016-12-28,,14.564,13.31,12.836,12.722,,-0.22,0.716,0.701,,,4894,,
K02398.01,Candidate,,10.27,1.169010265,2017,2016-12-28,,13.437,12.586,12.34,12.276,,-0.38,1.08,1.415,,,6514,,
K02400.01,Candidate,,0.216,11.61920445,2017,2016-12-28,,15.433,14.388,14.047,13.978,,-0.3,0.926,0.84,,,5876,,
K02401.01,Candidate,,0.13,38.2294271,2017,2016-12-28,,14.45,13.151,12.589,12.484,,-0.56,0.592,0.598,,,4544,,
K02404.01,Candidate,,0.111,2.10082411,2017,2016-12-28,,15.415,14.3,13.992,14.076,,-0.08,0.974,0.918,,,5815,,
K02410.01,Candidate,,,186.6543548,2017,2016-12-28,,14.949,14.017,13.673,13.549,,,,,,,,,
K02410.02,Candidate,,,86.59322294,2017,2016-12-28,,14.949,14.017,13.673,13.549,,,,,,,,,
K02411.01,Candidate,,0.244,11.96721766,2017,2016-12-28,,15.15,14.189,13.844,13.836,,-0.26,0.922,0.961,,,5903,,
K02415.01,Candidate,,0.192,5.25419736,2017,2016-12-28,,15.455,14.501,14.125,14.032,,-0.14,1.053,0.987,,,6123,,
K02416.01,Candidate,,0.128,5.90609759,2017,2016-12-28,,15.254,14.216,13.903,13.835,,-0.02,1.049,0.961,,,5966,,
K02420.02,Candidate,,0.078,5.46748701,2017,2016-12-28,,14.53,13.55,13.238,13.175,,-0.04,1.007,0.918,,,5851,,
K02421.01,Candidate,,0.045,2.27049088,2017,2016-12-28,,14.017,12.855,12.332,12.264,,-1.3,0.534,0.528,,,4671,,
K02421.02,Candidate,,0.044,4.02320508,2017,2016-12-28,,14.017,12.855,12.332,12.264,,-1.3,0.534,0.528,,,4671,,
K02422.02,Candidate,,0.174,57.3885599,2017,2016-12-28,,14.536,13.451,13.087,12.965,,0.12,0.912,0.985,,,5495,,
K02435.01,Candidate,,0.11,6.8025094,2017,2016-12-28,,14.966,13.975,13.578,13.553,,-0.4,0.881,0.817,,,5827,,
K02439.02,Candidate,,0.112,7.5017805,2017,2016-12-28,,15.253,14.34,14.122,14.354,,0.07,1.213,1.137,,,6343,,
K02445.01,Candidate,,0.221,47.3644554,2017,2016-12-28,,15.565,14.533,14.052,13.963,,-0.16,0.902,0.902,,,5708,,
K02449.01,Candidate,,0.271,53.3572551,2017,2016-12-28,,14.891,13.931,13.554,13.52,,0,1.033,0.941,,,5893,,
K02449.02,Candidate,,0.0937,0.912340414,2017,2016-12-28,,14.891,13.931,13.554,13.52,,0,1.033,0.941,,,5893,,
K02450.02,Candidate,,0.0919,7.19317988,2017,2016-12-28,,14.603,13.603,13.245,13.168,,-0.22,0.903,0.899,,,5772,,
K02462.01,Candidate,,0.102,12.14692791,2017,2016-12-28,,11.651,10.677,10.445,10.373,,0.06,1.082,1.257,,,6006,,
K02467.01,Candidate,,0.106,5.05661845,2017,2016-12-28,,14.42,13.465,13.097,13.033,,-0.04,1.03,0.939,,,5926,,
K02469.01,Candidate,,0.227,131.187711,2017,2016-12-28,,14.684,13.477,12.943,12.731,,-0.3,0.704,0.644,,,4696,,
K02471.01,Candidate,,0.141,25.886129,2017,2016-12-28,,14.304,13.245,12.826,12.745,,-0.18,0.821,0.906,,,5506,,
K02474.01,Candidate,,3.751,176.845697,2017,2016-12-28,,13.941,12.913,12.485,12.424,,-0.4,0.804,0.797,,,5592,,
K02477.01,Candidate,,0.209,14.02635723,2017,2016-12-28,,14.518,13.518,13.22,13.104,,0.06,1.057,1.131,,,5970,,
K02479.01,Candidate,,0.171,25.5434289,2017,2016-12-28,,12.687,11.606,11.214,11.141,,-0.2,0.932,1.677,,,5491,,
K02480.01,Candidate,,0.117,0.666826778,2017,2016-12-28,,15.19,13.726,13.061,12.875,,-0.2,0.554,0.554,,,3990,,
K02481.01,Candidate,,1.424,33.8542586,2017,2016-12-28,,13.214,11.804,11.233,11.078,,0.42,1.616,10.472,,,4553,,
K02486.01,Candidate,,0.128,4.26795346,2017,2016-12-28,,12.89,11.969,11.766,11.707,,-0.28,1.048,1.237,,,6395,,
K02489.01,Candidate,,0.171,3.9245216,2017,2016-12-28,,15.475,14.461,14.074,14.062,,-0.18,0.941,0.851,,,5787,,
K02490.01,Candidate,,0.197,11.60656196,2017,2016-12-28,,15.366,14.175,13.66,13.585,,-0.16,0.786,0.707,,,4960,,
K02503.01,Candidate,,0.088,14.8200454,2017,2016-12-28,,13.781,12.554,12.039,11.942,,0.08,0.779,0.741,,,4832,,
K02507.01,Candidate,,0.19,11.12968583,2017,2016-12-28,,15.645,14.682,14.359,14.192,,-0.18,1.041,0.964,,,6122,,
K02508.01,Candidate,,0.14,7.10394924,2017,2016-12-28,,14.905,13.843,13.518,13.373,,-0.18,0.868,0.794,,,5494,,
K02512.01,Candidate,,0.761,15.92104918,2017,2016-12-28,,15.276,14.326,13.843,13.856,,-0.14,0.899,0.824,,,5583,,
K02513.01,Candidate,,9.2096,19.00537199,2017,2016-12-28,,14.668,13.757,13.453,13.367,,-0.32,1.032,1.036,,,6347,,
K02516.01,Candidate,,0.108,2.81042295,2017,2016-12-28,,13.122,12.065,11.667,11.582,,-0.06,0.98,1.704,,,5473,,
K02519.01,Candidate,,0.102,4.790915598,2017,2016-12-28,,14.012,12.746,12.174,12.039,,-0.76,0.548,0.524,,,4329,,
K02521.02,Candidate,,0.139,4.86635506,2017,2016-12-28,,15.571,14.388,13.922,13.824,,-0.14,0.854,0.762,,,5274,,
K02522.01,Candidate,,0.217,5.60401852,2017,2016-12-28,,13.356,12.135,11.631,11.529,,0.42,0.953,1.636,,,4991,,
K02523.02,Candidate,,0.119,2.61090672,2017,2016-12-28,,15.552,14.411,14.092,13.937,,0.1,0.974,0.871,,,5565,,
K02525.01,Candidate,,0.19,57.293155,2017,2016-12-28,,15.322,14.049,13.511,13.418,,-0.1,0.709,0.729,,,4806,,
K02527.01,Candidate,,0.048,1.385785956,2017,2016-12-28,,13.67,12.256,11.68,11.562,,-0.24,0.593,0.587,,,4189,,
K02528.01,Candidate,,1.65,12.02298773,2017,2016-12-28,,15.441,14.524,14.141,13.962,,-0.28,0.967,0.879,,,5982,,
K02531.01,Candidate,,0.182,17.699719,2017,2016-12-28,,15.063,13.796,13.244,13.156,,0.07,0.769,0.736,,,4805,,
K02532.01,Candidate,,0.168,7.97098825,2017,2016-12-28,,15.122,14.013,13.551,13.427,,0.24,0.927,0.826,,,5237,,
K02533.03,Candidate,,0.212,26.1152887,2017,2016-12-28,,12.967,11.843,11.333,11.242,,-0.12,1.319,2.912,,,5190,,
K02534.02,Candidate,,0.091,5.42200756,2017,2016-12-28,,13.755,12.861,12.569,12.503,,-0.06,1.1,1.038,,,6184,,
K02535.01,Candidate,,0.123,48.8874292,2017,2016-12-28,,14.641,13.404,12.882,12.776,,-0.2,0.707,0.732,,,4930,,
K02538.01,Candidate,,0.114,39.8313153,2017,2016-12-28,,13.847,12.729,12.193,12.146,,-0.54,0.708,0.647,,,5106,,
K02542.01,Candidate,,0.053,0.727330426,2017,2016-12-28,,14.755,12.858,12.266,12.032,,0,0.275,0.288,,,3339,,
K02543.01,Candidate,,0.109,1.302015734,2017,2016-12-28,,15.037,13.827,13.345,13.392,,-0.54,0.653,0.674,,,5014,,
K02547.01,Candidate,,0.13,8.94343618,2017,2016-12-28,,13.976,12.998,12.69,12.593,,-0.54,0.873,1.005,,,6074,,
K02548.01,Candidate,,0.111,0.827149298,2017,2016-12-28,,14.666,13.273,12.72,12.658,,-0.12,0.745,0.705,,,4865,,
K02550.01,Candidate,,0.188,18.0243403,2017,2016-12-28,,15.203,14.195,13.918,13.858,,-0.16,0.999,0.91,,,5955,,
K02551.01,Candidate,,0.153,16.4793025,2017,2016-12-28,,15.483,14.44,13.804,13.766,,-0.02,0.779,0.73,,,4911,,
K02553.01,Candidate,,0.203,88.0712696,2017,2016-12-28,,15.338,14.219,13.742,13.663,,-0.06,0.839,0.751,,,5126,,
K02554.01,Candidate,,441.804,39.7559367,2017,2016-12-28,,15.023,13.729,13.159,13.038,,-1.1,0.514,0.51,,,4401,,
K02554.02,Candidate,,0.085,10.27130881,2017,2016-12-28,,15.023,13.729,13.159,13.038,,-1.1,0.514,0.51,,,4401,,
K02560.01,Candidate,,0.21,18.120884,2017,2016-12-28,,15.118,13.915,13.287,13.218,,0.02,0.75,0.774,,,4905,,
K02563.02,Candidate,,0.075,6.26139139,2017,2016-12-28,,13.82,12.901,12.662,12.62,,-0.24,1.046,1.121,,,6384,,
K02564.02,Candidate,,0.086,17.6637779,2017,2016-12-28,,13.91,12.966,12.717,12.602,,-0.06,1.092,1.139,,,6273,,
K02569.01,Candidate,,0.118,8.28163103,2017,2016-12-28,,14.034,13.002,12.643,12.572,,0.12,0.991,1.092,,,5730,,
K02571.01,Candidate,,0.082,0.826284195,2017,2016-12-28,,14.146,13.061,12.556,12.532,,0.02,0.86,0.781,,,5203,,
K02572.01,Candidate,,0.2,6.37706089,2017,2016-12-28,,15.29,14.273,13.93,13.876,,0.36,1.079,0.966,,,5672,,
K02573.01,Candidate,,4.456,1.347512247,2017,2016-12-28,,15.596,14.417,13.977,13.792,,-0.78,0.658,0.685,,,5316,,
K02577.01,Candidate,,0.318,18.55578977,2017,2016-12-28,,13.382,12.594,12.388,12.367,,-0.16,1.287,1.332,,,6810,,
K02578.01,Candidate,,0.313,13.33092674,2017,2016-12-28,,14.647,13.595,13.287,13.247,,-0.18,0.976,1.039,,,5991,,
K02579.01,Candidate,,0.115,2.72960336,2017,2016-12-28,,14.951,13.994,13.71,13.714,,-0.16,1.025,1.068,,,6190,,
K02579.02,Candidate,,0.118,3.5964055,2017,2016-12-28,,14.951,13.994,13.71,13.714,,-0.16,1.025,1.068,,,6190,,
K02579.03,Candidate,,0.148,10.30139354,2017,2016-12-28,,14.951,13.994,13.71,13.714,,-0.16,1.025,1.068,,,6190,,
K02581.01,Candidate,,0.079,12.73726137,2017,2016-12-28,,13.248,12.209,11.893,11.808,,0.02,0.971,0.87,,,5650,,
K02582.01,Candidate,,0.199,40.030989,2017,2016-12-28,,13.45,12.558,12.296,12.239,,0.26,1.158,1.364,,,5857,,
K02583.01,Candidate,,0.054,3.03266154,2017,2016-12-28,,12.423,11.462,11.142,11.076,,-0.26,0.874,0.881,,,5725,,
K02585.03,Candidate,,0.0946,7.87840906,2017,2016-12-28,,13.311,12.414,12.151,12.121,,-0.3,1.104,1.403,,,6474,,
K02590.02,Candidate,,0.105,22.7888975,2017,2016-12-28,,11.513,10.661,10.452,10.406,,-0.1,1.204,1.655,,,6440,,
K02592.01,Candidate,,0.21,175.605703,2017,2016-12-28,,14.874,13.926,13.646,13.62,,-0.16,1.072,1.009,,,6208,,
K02597.03,Candidate,,0.13,5.61357629,2017,2016-12-28,,14.626,13.724,13.436,13.384,,-0.12,1.145,1.154,,,6426,,
K02598.01,Candidate,,0.118,29.2253605,2017,2016-12-28,,13.964,13.054,12.824,12.781,,-0.02,1.069,1.008,,,6049,,
K02599.01,Candidate,,18.189,25.3247209,2017,2016-12-28,,14.562,13.408,12.943,12.868,,-0.68,0.647,0.668,,,5128,,
K02603.01,Candidate,,0.14,73.711634,2017,2016-12-28,,12.457,11.65,11.411,11.359,,-0.22,1.134,1.336,,,6431,,
K02604.01,Candidate,,4.332,14.43344076,2017,2016-12-28,,14.988,13.762,13.182,13.128,,-0.12,0.77,0.708,,,4902,,
K02607.01,Candidate,,0.133,0.754458321,2017,2016-12-28,,14.282,13.364,13.041,12.995,,-0.14,0.985,0.892,,,5883,,
K02610.01,Candidate,,0.236,24.1071656,2017,2016-12-28,,12.449,11.529,11.34,11.271,,-0.08,1.502,2.517,,,6585,,
K02610.02,Candidate,,0.29,115.229503,2017,2016-12-28,,12.449,11.529,11.34,11.271,,-0.08,1.502,2.517,,,6585,,
K02612.01,Candidate,,0.049,4.61226344,2017,2016-12-28,,11.602,10.615,10.275,10.185,,-0.12,0.824,0.924,,,5461,,
K02612.02,Candidate,,0.048,7.57306383,2017,2016-12-28,,11.602,10.615,10.275,10.185,,-0.12,0.824,0.924,,,5461,,
K02613.01,Candidate,,0.231,51.5738714,2017,2016-12-28,,15.674,14.543,14.119,14.029,,0.07,0.921,0.814,,,5377,,
K02620.01,Candidate,,5.704,16.0573732,2017,2016-12-28,,15.631,14.596,14.196,14.125,,-0.22,0.895,0.815,,,5658,,
K02623.02,Candidate,,0.057,4.0266532,2017,2016-12-28,,13.26,12.412,12.134,12.075,,-0.16,1.177,1.155,,,6528,,
K02631.01,Candidate,,0.132,44.9977478,2017,2016-12-28,,13.295,12.36,12.077,12.039,,-0.34,0.953,1.168,,,6112,,
K02636.01,Candidate,,0.0928,3.88151335,2017,2016-12-28,,12.138,10.986,10.775,10.666,,0.07,1.177,1.594,,,6130,,
K02636.02,Candidate,,0.056,5.1777226,2017,2016-12-28,,12.138,10.986,10.775,10.666,,0.07,1.177,1.594,,,6130,,
K02637.01,Candidate,,0.091,3.98863276,2017,2016-12-28,,14.82,13.857,13.488,13.483,,-0.12,1.038,0.955,,,6045,,
K02638.01,Candidate,,0.139,2.524018115,2017,2016-12-28,,15.261,14.217,13.792,13.635,,-0.06,0.849,0.871,,,5420,,
K02639.01,Candidate,,0.184,25.1080579,2017,2016-12-28,,15.33,14.402,14.073,14.017,,-0.06,1.049,1.112,,,6133,,
K02639.02,Candidate,,0.513,2.121023807,2017,2016-12-28,,15.33,14.402,14.073,14.017,,-0.06,1.049,1.112,,,6133,,
K02640.01,Candidate,,,33.18089453,2017,2016-12-28,,12.896,11.609,11.077,10.987,,,,,,,,,
K02641.01,Candidate,,0.08,3.55559864,2017,2016-12-28,,13.63,12.713,12.329,12.306,,-0.16,0.926,1.082,,,5839,,
K02656.01,Candidate,,0.117,6.77360963,2017,2016-12-28,,14.855,13.929,13.649,13.654,,-0.26,1.083,1.035,,,6363,,
K02657.01,Candidate,,0.046,5.22404435,2017,2016-12-28,,12.655,11.652,11.287,11.236,,-0.34,0.828,0.758,,,5511,,
K02658.01,Candidate,,0.15,11.6601366,2017,2016-12-28,,14.221,13.276,12.994,12.877,,0.07,1.125,1.024,,,6089,,
K02659.01,Candidate,,0.331,89.458739,2017,2016-12-28,,12.703,11.489,11.013,10.91,,0.06,1.665,3.751,,,5242,,
K02663.01,Candidate,,0.06,9.88736112,2017,2016-12-28,,13.25,12.307,11.953,11.897,,-0.24,0.894,0.819,,,5684,,
K02666.01,Candidate,,0.22,64.035738,2017,2016-12-28,,15.113,14.08,13.729,13.609,,-0.48,0.814,0.783,,,5691,,
K02675.02,Candidate,,0.075,1.116128999,2017,2016-12-28,,12.238,11.323,10.947,10.907,,-0.38,0.851,0.782,,,5674,,
K02677.01,Candidate,,0.516,237.7872077,2017,2016-12-28,,13.315,12.397,12.157,12.137,,-0.26,1.044,1.123,,,6400,,
K02679.01,Candidate,,1.122,110.7557326,2017,2016-12-28,,13.322,12.397,12.101,12.113,,-0.16,1.177,1.155,,,6528,,
K02680.01,Candidate,,0.485,14.40792604,2017,2016-12-28,,14.35,13.286,12.935,12.851,,-0.4,0.793,0.733,,,5433,,
K02683.01,Candidate,,0.418,126.4465454,2017,2016-12-28,,15.27,14.245,13.851,13.766,,-0.26,0.876,0.804,,,5635,,
K02686.01,Candidate,,0.329,211.0338741,2017,2016-12-28,,13.469,12.224,11.69,11.559,,-0.2,0.681,0.661,,,4628,,
K02687.01,Candidate,,0.14,1.716831717,2017,2016-12-28,,9.973,9.052,8.761,8.693,,0.14,1.241,2.014,,,5895,,
K02687.02,Candidate,,0.185,8.16735028,2017,2016-12-28,,9.973,9.052,8.761,8.693,,0.14,1.241,2.014,,,5895,,
K02689.01,Candidate,,280.835,165.3450738,2017,2016-12-28,,15.346,14.296,13.895,13.853,,-0.4,0.798,0.812,,,5594,,
K02691.01,Candidate,,0.31,97.4467732,2017,2016-12-28,,14.591,13.332,12.786,12.69,,-0.1,0.724,0.688,,,4728,,
K02692.01,Candidate,,0.23,1.257688763,2017,2016-12-28,,15.278,14.198,13.828,13.676,,-0.4,0.838,0.792,,,5676,,
K02694.02,Candidate,,0.153,6.56606842,2017,2016-12-28,,14.579,13.33,12.808,12.684,,0.56,0.809,0.856,,,4818,,
K02695.01,Candidate,,7.829,2.503431903,2017,2016-12-28,,15.278,14.088,13.564,13.417,,-0.04,0.782,0.84,,,5174,,
K02696.01,Candidate,,0.496,96.4561033,2017,2016-12-28,,12.901,12.188,12.032,11.95,,-0.16,1.411,1.666,,,7030,,
K02696.02,Candidate,,0.302,44.5645251,2017,2016-12-28,,12.901,12.188,12.032,11.95,,-0.16,1.411,1.666,,,7030,,
K02706.01,Candidate,,0.16,3.097587634,2017,2016-12-28,,10.169,9.381,9.181,9.109,,-0.2,1.39,1.9,,,6491,,
K02712.01,Candidate,,0.146,7.50784391,2017,2016-12-28,,11.011,10.186,9.963,9.948,,-0.16,1.159,1.32,,,6450,,
K02715.03,Candidate,,0.275,5.72087524,2017,2016-12-28,,16.33,14.832,14.224,13.884,,0.38,0.736,0.706,,,4385,,
K02716.02,Candidate,,0.146,6.46008273,2017,2016-12-28,,15.573,14.572,14.167,14.068,,-0.3,0.88,0.802,,,5693,,
K02719.02,Candidate,,0.153,106.260935,2017,2016-12-28,,14.749,13.472,12.944,12.834,,0.32,0.796,0.823,,,4827,,
K02720.01,Candidate,,0.11,6.57158198,2017,2016-12-28,,10.193,9.309,9.023,8.996,,-0.2,1.19,1.55,,,6109,,
K02722.05,Candidate,,0.108,16.5339099,2017,2016-12-28,,13.14,12.303,12.082,11.993,,-0.22,1.14,1.215,,,6522,,
K02723.01,Candidate,,0.176,1.952710064,2017,2016-12-28,,14.336,13.324,12.983,12.841,,0.12,1.02,0.946,,,5741,,
K02725.01,Candidate,,2.166,0.587471324,2017,2016-12-28,,13.482,12.355,12.072,11.988,,-0.42,1.236,2.667,,,5787,,
K02732.04,Candidate,,0.077,24.5607763,2017,2016-12-28,,12.666,11.83,11.575,11.537,,0.06,1.102,1.111,,,6086,,
K02734.01,Candidate,,0.236,3.82590987,2017,2016-12-28,,15.452,14.357,13.803,13.71,,0.32,0.913,0.885,,,5223,,
K02735.01,Candidate,,0.124,0.558841307,2017,2016-12-28,,15.28,14.149,13.676,13.569,,0.21,0.902,0.798,,,5154,,
K02739.02,Candidate,,0.0901,7.09559216,2017,2016-12-28,,14.778,13.757,13.423,13.302,,0.2,1.057,0.96,,,5754,,
K02744.02,Candidate,,0.098,11.6153141,2017,2016-12-28,,14.933,13.886,13.521,13.406,,-0.3,0.868,0.797,,,5649,,
K02750.01,Candidate,,0.585,174.639617,2017,2016-12-28,,15.715,14.87,14.487,14.57,,0.21,1.249,1.167,,,6299,,
K02756.02,Candidate,,0.082,5.06993245,2017,2016-12-28,,14.551,13.563,13.279,13.24,,-0.08,1.026,0.937,,,5957,,
K02758.01,Candidate,,2.267,253.355007,2017,2016-12-28,,11.572,10.376,9.964,9.839,,0.1,2.122,5.949,,,5177,,
K02759.01,Candidate,,0.088,1.078084397,2017,2016-12-28,,13.95,12.808,12.286,12.228,,0.08,0.774,0.809,,,4973,,
K02760.01,Candidate,,0.195,56.5735997,2017,2016-12-28,,14.479,13.191,12.613,12.473,,-0.2,0.667,0.639,,,4514,,
K02764.01,Candidate,,0.11,2.2529737,2017,2016-12-28,,15.22,13.666,12.997,12.87,,-0.1,0.572,0.55,,,3952,,
K02768.03,Candidate,,0.124,11.833458,2017,2016-12-28,,14.995,13.908,13.527,13.477,,-0.04,0.952,0.857,,,5653,,
K02770.01,Candidate,,0.206,205.38445,2017,2016-12-28,,15.107,13.766,13.175,13.052,,-0.2,0.642,0.631,,,4400,,
K02775.01,Candidate,,0.209,17.57706436,2017,2016-12-28,,14.705,13.69,13.306,13.186,,-0.32,0.819,0.901,,,5653,,
K02779.01,Candidate,,0.179,34.4584231,2017,2016-12-28,,14.758,13.867,13.535,13.425,,-0.5,0.95,0.851,,,6150,,
K02783.01,Candidate,,0.073,0.526888071,2017,2016-12-28,,14.167,12.663,12.018,11.883,,0.02,0.646,0.657,,,4266,,
K02784.01,Candidate,,0.128,4.14245284,2017,2016-12-28,,10.932,10.172,9.981,9.945,,-0.96,1.027,1.755,,,6788,,
K02797.01,Candidate,,0.16,0.86811809,2017,2016-12-28,,15.589,14.609,14.241,14.183,,0.21,1.202,1.108,,,6173,,
K02801.01,Candidate,,0.112,6.99205491,2017,2016-12-28,,10.625,9.771,9.526,9.472,,-0.06,1.271,2.166,,,6112,,
K02803.01,Candidate,,0.043,2.37752807,2017,2016-12-28,,12.054,11.064,10.738,10.642,,-0.18,0.902,0.821,,,5637,,
K02807.01,Candidate,,6.034,3.37571832,2017,2016-12-28,,13.742,12.828,12.584,12.537,,-0.08,1.093,1.224,,,6303,,
K02813.01,Candidate,,0.065,0.698461548,2017,2016-12-28,,13.311,12.121,11.613,11.514,,-0.96,0.616,0.624,,,5143,,
K02815.01,Candidate,,0.053,1.545392765,2017,2016-12-28,,13.338,12.404,12.093,12.028,,-0.48,0.847,0.776,,,5770,,
K02821.01,Candidate,,0.349,79.2455988,2017,2016-12-28,,15.049,14.023,13.627,13.522,,-0.12,0.892,0.917,,,5648,,
K02822.01,Candidate,,0.175,4.44588291,2017,2016-12-28,,15.171,14.158,13.79,13.672,,-0.26,0.953,0.863,,,5918,,
K02829.01,Candidate,,0.118,10.61345435,2017,2016-12-28,,12.663,11.753,11.496,11.444,,-0.02,1.014,1.064,,,5934,,
K02833.01,Candidate,,0.112,1.791876873,2017,2016-12-28,,12.409,11.428,11.181,11.123,,-0.1,1.15,1.815,,,6085,,
K02835.01,Candidate,,0.128,6.30923438,2017,2016-12-28,,15.474,14.157,13.533,13.439,,-0.92,0.524,0.53,,,4380,,
K02840.01,Candidate,,0.07,3.67934645,2017,2016-12-28,,13.663,12.658,12.314,12.261,,-0.48,0.781,0.848,,,5676,,
K02840.02,Candidate,,0.066,7.446473,2017,2016-12-28,,13.663,12.658,12.314,12.261,,-0.48,0.781,0.848,,,5676,,
K02841.01,Candidate,,0.23,159.388051,2017,2016-12-28,,15.543,14.423,13.943,13.978,,-0.02,0.911,0.812,,,5418,,
K02848.01,Candidate,,0.155,13.7872576,2017,2016-12-28,,12.246,11.271,10.974,10.919,,0.21,1.341,1.961,,,5888,,
K02851.01,Candidate,,0.161,3.42063861,2017,2016-12-28,,15.196,14.068,13.67,13.556,,0.1,0.923,0.906,,,5485,,
