# name,planet_status,mass,radius,orbital_period,discovered,updated,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_metallicity,star_mass,star_radius,star_sp_type,star_age,star_teff,star_detected_disc,star_magnetic_field
GJ 3090 b,Confirmed,0.01051,0.19,2.8531054,2022,2022-07-29,11,,,,,22.444,-0.06,0.519,0.516,,,3556,,
GJ 3090 c,Candidate,,,12.736,2022,2022-07-29,11,,,,,22.444,-0.06,0.519,0.516,,,3556,,
GJ 3138 b,Confirmed,,,5.974,2017,2017-03-21,10.98,,,,7.246,,-0.3,0.681,0.5,M0,,3717,,
GJ 3138 c,Confirmed,,,1.22003,2017,2017-03-21,10.98,,,,7.246,,-0.3,0.681,0.5,M0,,3717,,
GJ 3138 d,Confirmed,,,257.8,2017,2017-03-21,10.98,,,,7.246,,-0.3,0.681,0.5,M0,,3717,,
GJ 317 b,Confirmed,,,695.66,2007,2021-04-14,12,,6.41,5.9,5.59,15.1,0.36,0.42,,M3.5,,3510,,
GJ 317 c,Confirmed,,,6739.323,2007,2021-04-14,12,,6.41,5.9,5.59,15.1,0.36,0.42,,M3.5,,3510,,
GJ 328 b,Confirmed,,,4100,2013,2014-08-29,9.98,,,,,19.8,0,0.69,,K7,,3900,,
GJ 3293 b,Confirmed,,,30.5987,2014,2017-03-18,11.96,,,,,17.9,0.02,0.42,0.404,M2.5,,3466,,
GJ 3293 c,Confirmed,,,122.6196,2014,2019-05-17,11.96,,,,,17.9,0.02,0.42,0.404,M2.5,,3466,,
GJ 3293 d,Confirmed,,,48.1345,2014,2017-03-17,11.96,,,,,17.9,0.02,0.42,0.404,M2.5,,3466,,
GJ 3293 e,Confirmed,,,13.2543,2017,2017-03-17,11.96,,,,,17.9,0.02,0.42,0.404,M2.5,,3466,,
GJ 3323 b,Confirmed,,,5.3636,2017,2017-03-21,12.22,,,,6.736,,-0.27,0.164,0.119,M4,,3159,,
GJ 3323 c,Confirmed,,,40.54,2017,2017-03-21,12.22,,,,6.736,,-0.27,0.164,0.119,M4,,3159,,
GJ 3341 b,Confirmed,,,14.207,2014,2014-12-17,12.08,,,,,23.1,-0.09,0.47,0.349,M2.5,,3526,,
